epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5161.56,1.58391,1.18761,1.48886,0.65262,0.71152,0.69075,0.37153,1.61673,1.1232,1.56826,0.0091882,0.0091882,0.0091882
43,5284.09,1.56734,1.17599,1.47104,0.66095,0.73612,0.6871,0.3766,1.57224,1.14873,1.53286,0.0091684,0.0091684,0.0091684
44,5406.82,1.57129,1.17722,1.47294,0.67819,0.71568,0.7205,0.37773,1.64027,1.14477,1.58247,0.0091486,0.0091486,0.0091486
45,5529.49,1.56532,1.18584,1.4785,0.66097,0.74349,0.70264,0.38215,1.57828,1.10832,1.54644,0.0091288,0.0091288,0.0091288
46,5651.88,1.55708,1.18337,1.46985,0.6875,0.73643,0.72617,0.38993,1.58238,1.09957,1.53949,0.009109,0.009109,0.009109
47,5774.43,1.55649,1.172,1.46939,0.69209,0.74347,0.72335,0.38846,1.61269,1.09728,1.5545,0.0090892,0.0090892,0.0090892
48,5896.77,1.56355,1.17644,1.46679,0.68709,0.71434,0.70819,0.39242,1.56503,1.09467,1.54073,0.0090694,0.0090694,0.0090694
49,6018.95,1.55247,1.16435,1.46459,0.6709,0.7394,0.71479,0.37261,1.62946,1.14439,1.56649,0.0090496,0.0090496,0.0090496
50,6141,1.54456,1.15701,1.45748,0.69047,0.72769,0.72816,0.39994,1.56086,1.07645,1.54686,0.0090298,0.0090298,0.0090298
51,6263.09,1.54221,1.15371,1.45608,0.67941,0.74274,0.73417,0.39367,1.60748,1.09417,1.56667,0.00901,0.00901,0.00901
52,6385.32,1.54354,1.14835,1.45618,0.70825,0.74268,0.73386,0.40281,1.5854,1.0824,1.55062,0.0089902,0.0089902,0.0089902
53,6507.41,1.53466,1.15131,1.44712,0.7019,0.74411,0.74197,0.40434,1.5578,1.07465,1.53327,0.0089704,0.0089704,0.0089704
54,6629.36,1.53563,1.14124,1.44868,0.67259,0.7484,0.72699,0.39366,1.59024,1.09645,1.54182,0.0089506,0.0089506,0.0089506
55,6751.47,1.54068,1.14043,1.4457,0.71275,0.7329,0.73307,0.39309,1.60483,1.05432,1.55981,0.0089308,0.0089308,0.0089308
56,6873.4,1.52556,1.12731,1.44447,0.71571,0.74909,0.73718,0.40674,1.55811,1.06934,1.52269,0.008911,0.008911,0.008911
57,6995.54,1.53067,1.13925,1.45295,0.72055,0.72749,0.74515,0.40752,1.56181,1.07585,1.52813,0.0088912,0.0088912,0.0088912
58,7117.6,1.52738,1.1293,1.44941,0.7106,0.71399,0.7135,0.38485,1.60083,1.14236,1.57318,0.0088714,0.0088714,0.0088714
59,7239.59,1.50843,1.11725,1.44513,0.68829,0.74799,0.74906,0.40974,1.56485,1.07899,1.53342,0.0088516,0.0088516,0.0088516
60,7361.55,1.52299,1.12433,1.44178,0.71183,0.73809,0.74366,0.41275,1.55519,1.05362,1.53059,0.0088318,0.0088318,0.0088318
61,7483.69,1.51722,1.11921,1.43816,0.72641,0.74385,0.75349,0.422,1.54668,1.06026,1.52523,0.008812,0.008812,0.008812
62,7605.81,1.51843,1.12365,1.43073,0.69254,0.74905,0.73872,0.40563,1.56579,1.06686,1.52928,0.0087922,0.0087922,0.0087922
63,7728.09,1.51032,1.11245,1.435,0.70265,0.73708,0.73201,0.40698,1.56112,1.0587,1.53182,0.0087724,0.0087724,0.0087724
64,7850.12,1.51403,1.10227,1.43226,0.73061,0.74291,0.75934,0.42021,1.53692,1.03025,1.51696,0.0087526,0.0087526,0.0087526
65,7972.91,1.50611,1.09947,1.43209,0.72031,0.72215,0.74639,0.41628,1.53782,1.06152,1.52186,0.0087328,0.0087328,0.0087328
66,8095.3,1.4985,1.08761,1.41968,0.72952,0.74712,0.7624,0.42796,1.52984,1.02363,1.50946,0.008713,0.008713,0.008713
67,8217.65,1.49777,1.08864,1.42206,0.72364,0.7261,0.74107,0.41581,1.55293,1.03709,1.5355,0.0086932,0.0086932,0.0086932
68,8339.86,1.49411,1.09566,1.42516,0.72397,0.74553,0.74214,0.42129,1.51459,1.04189,1.50759,0.0086734,0.0086734,0.0086734
69,8462.37,1.4987,1.10134,1.42662,0.71612,0.74307,0.75543,0.42211,1.52825,1.02561,1.51079,0.0086536,0.0086536,0.0086536
70,8584.86,1.50404,1.09632,1.42718,0.71642,0.75001,0.74637,0.41905,1.52667,1.02953,1.51575,0.0086338,0.0086338,0.0086338
